epoch,step,train_iou,train_loss_epoch,train_loss_step,valid_acc,valid_iou,valid_loss
0,2,,,,0.2699582278728485,0.11686114221811295,0.19285614788532257
0,2,,0.8913691639900208,,,,
1,5,,,,0.41114184260368347,0.6318144202232361,0.47604650259017944
1,5,,0.6397522687911987,,,,
2,8,,,,0.3018779456615448,0.07383718341588974,0.30698391795158386
2,8,,0.8722324371337891,,,,
3,11,,,,0.3055356442928314,0.0870756208896637,0.6731888055801392
3,11,,0.7495288848876953,,,,
4,14,,,,0.3664136230945587,0.49534669518470764,0.6035770773887634
4,14,,0.7312899827957153,,,,
5,17,,,,0.3244289755821228,0.37022864818573,0.6703037619590759
5,17,,0.7185395359992981,,,,
6,20,,,,0.3251326382160187,0.6479880809783936,0.333170622587204
6,20,,0.4728173017501831,,,,
7,23,,,,0.31241151690483093,0.6480140089988708,0.3337387442588806
7,23,,0.6307001709938049,,,,
8,26,,,,0.3112042248249054,0.6479702591896057,0.33360955119132996
8,26,,0.6739116311073303,,,,
9,29,,,,0.3070661425590515,0.6117732524871826,0.334421306848526
9,29,,0.6990433931350708,,,,
10,32,,,,0.2969401180744171,0.4414679706096649,0.34210529923439026
10,32,,0.7064353227615356,,,,
11,35,,,,0.2817363142967224,0.25888508558273315,0.2703115940093994
11,35,,0.7098469138145447,,,,
12,38,,,,0.27906063199043274,0.15443119406700134,0.5950644016265869
12,38,,0.6964761018753052,,,,
13,41,,,,0.30356189608573914,0.1304299384355545,0.47647625207901
13,41,,0.7069608569145203,,,,
14,44,,,,0.3337894380092621,0.1503087878227234,0.7436637878417969
14,44,,0.6987280249595642,,,,
15,47,,,,0.3925790786743164,0.19586846232414246,0.7282534241676331
15,47,,0.6934633851051331,,,,
16,49,0.29920724034309387,,0.6994196176528931,,,
16,50,,,,0.4326232671737671,0.2771373391151428,0.7323221564292908
16,50,,0.6836743950843811,,,,
17,53,,,,0.5241374969482422,0.3842092454433441,0.7294421792030334
17,53,,0.6749539971351624,,,,
18,56,,,,0.5952708125114441,0.49581465125083923,0.727187991142273
18,56,,0.6869361400604248,,,,
19,59,,,,0.6454672813415527,0.558897852897644,0.709581732749939
19,59,,0.5796663165092468,,,,
