epoch,step,train_loss_epoch,valid_acc,valid_iou,valid_loss
0,2,,0.569566011428833,0.6498712301254272,0.38293033838272095
0,2,0.6941818594932556,,,
1,5,,0.4679749011993408,0.6516834497451782,0.35134583711624146
1,5,1.582318663597107,,,
2,8,,0.481315553188324,0.6524128317832947,0.35294800996780396
2,8,0.7372937798500061,,,
3,11,,0.5197975039482117,0.6520975232124329,0.36634811758995056
3,11,0.6989352107048035,,,
4,14,,0.5678808689117432,0.6453562378883362,0.4128246307373047
4,14,0.6687874794006348,,,
5,17,,0.5799209475517273,0.5561027526855469,0.5670175552368164
5,17,0.6609122157096863,,,
6,20,,0.60893315076828,0.4790971577167511,0.6202347278594971
6,20,0.6303883194923401,,,
7,23,,0.6283560991287231,0.4812018573284149,0.6964166760444641
7,23,0.6001313924789429,,,
8,26,,0.6522725820541382,0.5136626958847046,0.6182735562324524
8,26,0.5891240835189819,,,
9,29,,0.6697996854782104,0.5385286808013916,0.6044077277183533
9,29,0.5850121974945068,,,
